Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of autophagosome assembly (GO:1902902)	2/13	2.426595e-04	4.649772e-02	0	0	1.067005e+02	8.881594e+02	LRRK2;FEZ1
GO_Biological_Process_2021	purine ribonucleoside triphosphate metabolic process (GO:0009205)	2/13	2.426595e-04	4.649772e-02	0	0	1.067005e+02	8.881594e+02	LRRK2;GIMAP7
GO_Biological_Process_2021	GTP metabolic process (GO:0046039)	2/15	3.259186e-04	4.649772e-02	0	0	9.027602e+01	7.248138e+02	LRRK2;GIMAP7
GO_Biological_Process_2021	negative regulation of macroautophagy (GO:0016242)	2/26	9.963204e-04	1.056125e-01	0	0	4.887255e+01	3.377798e+02	LRRK2;FEZ1
GO_Biological_Process_2021	regulation of autophagosome assembly (GO:2000785)	2/35	1.805571e-03	1.056125e-01	0	0	3.552763e+01	2.244237e+02	LRRK2;FEZ1
GO_Biological_Process_2021	negative regulation of organelle assembly (GO:1902116)	2/35	1.805571e-03	1.056125e-01	0	0	3.552763e+01	2.244237e+02	LRRK2;FEZ1
GO_Biological_Process_2021	regulation of apoptotic signaling pathway (GO:2001233)	2/38	2.126087e-03	1.056125e-01	0	0	3.256209e+01	2.003699e+02	NR4A2;DEPTOR
GO_Biological_Process_2021	plasma membrane bounded cell projection morphogenesis (GO:0120039)	2/52	3.947355e-03	1.056125e-01	0	0	2.342824e+01	1.296685e+02	LRRK2;EPB41L3
GO_Biological_Process_2021	response to organic cyclic compound (GO:0014070)	2/60	5.221780e-03	1.056125e-01	0	0	2.018864e+01	1.060896e+02	LRRK2;SPP1
GO_Biological_Process_2021	axon guidance (GO:0007411)	3/203	5.749396e-03	1.056125e-01	0	0	8.983636e+00	4.634353e+01	ROBO4;FEZ1;LAMA3
GO_Biological_Process_2021	cell-cell junction assembly (GO:0007043)	2/66	6.285456e-03	1.056125e-01	0	0	1.829044e+01	9.272370e+01	CDH5;EPB41L3
GO_Biological_Process_2021	cellular response to nutrient levels (GO:0031669)	2/66	6.285456e-03	1.056125e-01	0	0	1.829044e+01	9.272370e+01	LRRK2;PDK4
GO_Biological_Process_2021	positive regulation of protein modification process (GO:0031401)	3/214	6.650406e-03	1.056125e-01	0	0	8.510556e+00	4.266407e+01	MARCO;CDH5;LRRK2
GO_Biological_Process_2021	canonical Wnt signaling pathway (GO:0060070)	2/68	6.660165e-03	1.056125e-01	0	0	1.773440e+01	8.887793e+01	NR4A2;LRRK2
GO_Biological_Process_2021	insulin receptor signaling pathway (GO:0008286)	2/73	7.640329e-03	1.056125e-01	0	0	1.648136e+01	8.033533e+01	PDK4;APPL1
GO_Biological_Process_2021	purine ribonucleotide metabolic process (GO:0009150)	2/77	8.468496e-03	1.056125e-01	0	0	1.559922e+01	7.443013e+01	LRRK2;GIMAP7
