Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	ECM-receptor interaction	3/88	5.290877e-04	2.169260e-02	0	0	2.126096e+01	1.604003e+02	LAMA3;SPP1;THBS2
KEGG_2021_Human	Focal adhesion	3/201	5.594015e-03	1.146773e-01	0	0	9.075298e+00	4.706502e+01	LAMA3;SPP1;THBS2
KEGG_2021_Human	Human papillomavirus infection	3/331	2.143567e-02	2.086712e-01	0	0	5.442350e+00	2.091331e+01	LAMA3;SPP1;THBS2
KEGG_2021_Human	PI3K-Akt signaling pathway	3/354	2.551260e-02	2.086712e-01	0	0	5.079772e+00	1.863557e+01	LAMA3;SPP1;THBS2
KEGG_2021_Human	Fluid shear stress and atherosclerosis	2/139	2.589445e-02	2.086712e-01	0	0	8.513096e+00	3.110452e+01	THBD;CDH5
KEGG_2021_Human	Phagosome	2/152	3.053725e-02	2.086712e-01	0	0	7.770196e+00	2.710872e+01	MARCO;THBS2
KEGG_2021_Human	ABC transporters	1/45	7.795575e-02	2.826576e-01	0	0	1.293506e+01	3.300529e+01	ABCC3
KEGG_2021_Human	Other types of O-glycan biosynthesis	1/47	8.127967e-02	2.826576e-01	0	0	1.237143e+01	3.105055e+01	EOGT
KEGG_2021_Human	Cocaine addiction	1/49	8.459194e-02	2.826576e-01	0	0	1.185476e+01	2.928027e+01	FOSB
KEGG_2021_Human	Malaria	1/50	8.624372e-02	2.826576e-01	0	0	1.161224e+01	2.845671e+01	THBS2
KEGG_2021_Human	GnRH secretion	1/64	1.090666e-01	2.826576e-01	0	0	9.025397e+00	1.999844e+01	SPP1
KEGG_2021_Human	Amphetamine addiction	1/69	1.170825e-01	2.826576e-01	0	0	8.359664e+00	1.793045e+01	FOSB
KEGG_2021_Human	Complement and coagulation cascades	1/85	1.422651e-01	2.826576e-01	0	0	6.761905e+00	1.318614e+01	THBD
KEGG_2021_Human	Colorectal cancer	1/86	1.438156e-01	2.826576e-01	0	0	6.682017e+00	1.295792e+01	APPL1
KEGG_2021_Human	Bile secretion	1/90	1.499905e-01	2.826576e-01	0	0	6.380417e+00	1.210482e+01	ABCC3
KEGG_2021_Human	Morphine addiction	1/91	1.515274e-01	2.826576e-01	0	0	6.309206e+00	1.190540e+01	GRK5
KEGG_2021_Human	Small cell lung cancer	1/92	1.530616e-01	2.826576e-01	0	0	6.239560e+00	1.171112e+01	LAMA3
KEGG_2021_Human	IL-17 signaling pathway	1/94	1.561220e-01	2.826576e-01	0	0	6.104762e+00	1.133726e+01	FOSB
KEGG_2021_Human	Aldosterone synthesis and secretion	1/98	1.622105e-01	2.826576e-01	0	0	5.851841e+00	1.064368e+01	NR4A2
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	1/100	1.652387e-01	2.826576e-01	0	0	5.733045e+00	1.032157e+01	THBD
KEGG_2021_Human	Amoebiasis	1/102	1.682563e-01	2.826576e-01	0	0	5.618953e+00	1.001447e+01	LAMA3
KEGG_2021_Human	Longevity regulating pathway	1/102	1.682563e-01	2.826576e-01	0	0	5.618953e+00	1.001447e+01	APPL1
KEGG_2021_Human	Toll-like receptor signaling pathway	1/104	1.712633e-01	2.826576e-01	0	0	5.509293e+00	9.721440e+00	SPP1
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	1/106	1.742597e-01	2.826576e-01	0	0	5.403810e+00	9.441582e+00	NR4A2
KEGG_2021_Human	Drug metabolism	1/108	1.772456e-01	2.826576e-01	0	0	5.302270e+00	9.174088e+00	FMO2
KEGG_2021_Human	Toxoplasmosis	1/112	1.831859e-01	2.826576e-01	0	0	5.110167e+00	8.673252e+00	LAMA3
KEGG_2021_Human	Leukocyte transendothelial migration	1/114	1.861403e-01	2.826576e-01	0	0	5.019216e+00	8.438579e+00	CDH5
KEGG_2021_Human	Osteoclast differentiation	1/127	2.050928e-01	2.998179e-01	0	0	4.498413e+00	7.126803e+00	FOSB
KEGG_2021_Human	Apelin signaling pathway	1/137	2.193789e-01	2.998179e-01	0	0	4.165546e+00	6.318945e+00	SPP1
KEGG_2021_Human	Autophagy	1/137	2.193789e-01	2.998179e-01	0	0	4.165546e+00	6.318945e+00	DEPTOR
KEGG_2021_Human	Cell adhesion molecules	1/148	2.348054e-01	3.077715e-01	0	0	3.851701e+00	5.581107e+00	CDH5
KEGG_2021_Human	mTOR signaling pathway	1/154	2.430945e-01	3.077715e-01	0	0	3.699533e+00	5.232269e+00	DEPTOR
KEGG_2021_Human	Pathways in cancer	2/531	2.477185e-01	3.077715e-01	0	0	2.161125e+00	3.015769e+00	LAMA3;APPL1
KEGG_2021_Human	cGMP-PKG signaling pathway	1/167	2.607558e-01	3.144408e-01	0	0	3.407573e+00	4.580361e+00	KCNJ8
KEGG_2021_Human	Alcoholism	1/186	2.858497e-01	3.253413e-01	0	0	3.054672e+00	3.825332e+00	FOSB
KEGG_2021_Human	Transcriptional misregulation in cancer	1/192	2.936007e-01	3.253413e-01	0	0	2.957816e+00	3.624906e+00	TSPAN7
KEGG_2021_Human	Chemokine signaling pathway	1/192	2.936007e-01	3.253413e-01	0	0	2.957816e+00	3.624906e+00	GRK5
KEGG_2021_Human	Diabetic cardiomyopathy	1/203	3.075988e-01	3.318829e-01	0	0	2.795191e+00	3.295416e+00	PDK4
KEGG_2021_Human	Parkinson disease	1/249	3.632704e-01	3.759145e-01	0	0	2.271429e+00	2.300067e+00	LRRK2
KEGG_2021_Human	Endocytosis	1/252	3.667459e-01	3.759145e-01	0	0	2.243939e+00	2.250864e+00	GRK5
KEGG_2021_Human	Pathways of neurodegeneration	1/475	5.794039e-01	5.794039e-01	0	0	1.174804e+00	6.411558e-01	LRRK2
