Probe_ID,Gene_Symbol
202242_at,TSPAN7
202768_at,FOSB
203083_at,THBS2
203562_at,FEZ1
203726_s_at,LAMA3
203888_at,THBD
204396_s_at,GRK5
204622_x_at,NR4A2
204677_at,CDH5
205303_at,KCNJ8
205725_at,SCGB1A1
205819_at,MARCO
206710_s_at,EPB41L3
206953_s_at,LOC101927458 /// LPHN2
208161_s_at,ABCC3
209875_s_at,SPP1
211726_s_at,FMO2
213068_at,DPT
215454_x_at,SFTPC
216248_s_at,NR4A2
217771_at,GOLM1
218858_at,DEPTOR
221935_s_at,EOGT
222538_s_at,APPL1
222646_s_at,ERO1L
223492_s_at,LRRFIP1
225207_at,PDK4
225681_at,CTHRC1
226028_at,ROBO4
226697_at,FAM114A1
226769_at,FIBIN
227289_at,PCDH17
228071_at,GIMAP7
228665_at,CYYR1
229367_s_at,GIMAP6
229584_at,LRRK2
235568_at,MCEMP1
